Idusuario,Deslogin,Dessenha,Dtcadastro
15,aluno,R3b3r73,2022-09-20 17:03:18
2,Jose,Senha nova,2022-09-12 11:36:56
6,Jose,123456789,2022-09-12 17:30:20
7,Jose,123456789,2022-09-12 17:39:16
18,professor,1234321,2022-09-20 17:09:06
5,root,root,2022-09-12 14:15:22
10,root,root,2022-09-13 16:40:49
12,root,root,2022-09-13 17:04:25
14,root,root,2022-09-15 08:43:10
4,user,12345678,2022-09-12 14:15:21
9,user,12345678,2022-09-13 16:40:49
11,user,12345678,2022-09-13 17:04:25
13,user,12345678,2022-09-15 08:43:10
